Mismatch at pos (367, 2618) cpu: -9.48937e-06 gpu: -9.48834e-06
Mismatch at pos (368, 1309) cpu: 1.45957e-05 gpu: 1.45927e-05
Mismatch at pos (368, 2618) cpu: -2.91887e-05 gpu: -2.91898e-05
Mismatch at pos (369, 2618) cpu: -4.87857e-05 gpu: -4.87822e-05
Mismatch at pos (370, 1309) cpu: 3.41032e-05 gpu: 3.40998e-05
Mismatch at pos (371, 2618) cpu: -8.73798e-05 gpu: -8.73748e-05
Mismatch at pos (372, 1309) cpu: 5.31211e-05 gpu: 5.31166e-05
Mismatch at pos (374, 1309) cpu: 7.13726e-05 gpu: 7.13681e-05
Mismatch at pos (376, 1309) cpu: 8.85999e-05 gpu: 8.8594e-05
Mismatch at pos (376, 2618) cpu: -0.000177189 gpu: -0.000177197
Mismatch at pos (377, 1309) cpu: 9.6754e-05 gpu: 9.67464e-05
Mismatch at pos (378, 1309) cpu: 0.000104553 gpu: 0.000104546
Mismatch at pos (380, 1309) cpu: 0.000119002 gpu: 0.000118996
Mismatch at pos (380, 3927) cpu: 0.000357008 gpu: 0.000356993
Mismatch at pos (388, 1309) cpu: 0.000157993 gpu: 0.000157985
Mismatch at pos (390, 1309) cpu: 0.000162335 gpu: 0.000162326
Mismatch at pos (400, 1309) cpu: 0.000148945 gpu: 0.000148953
Mismatch at pos (402, 1309) cpu: 0.00013952 gpu: 0.000139529
Mismatch at pos (405, 1309) cpu: 0.000121678 gpu: 0.000121671
Mismatch at pos (407, 1309) cpu: 0.000107554 gpu: 0.000107547
Mismatch at pos (408, 1309) cpu: 9.9898e-05 gpu: 9.98933e-05
Mismatch at pos (409, 1309) cpu: 9.18857e-05 gpu: 9.18762e-05
Mismatch at pos (410, 1309) cpu: 8.35382e-05 gpu: 8.35338e-05
Mismatch at pos (411, 1309) cpu: 7.48938e-05 gpu: 7.48859e-05
Mismatch at pos (411, 3927) cpu: 0.000224668 gpu: 0.000224677
Mismatch at pos (412, 1309) cpu: 6.59772e-05 gpu: 6.59732e-05
Mismatch at pos (413, 1309) cpu: 5.6824e-05 gpu: 5.68189e-05
Mismatch at pos (414, 1309) cpu: 4.74662e-05 gpu: 4.74634e-05
Mismatch at pos (415, 1309) cpu: 3.79365e-05 gpu: 3.79344e-05
Mismatch at pos (415, 3927) cpu: 0.000113804 gpu: 0.000113808
Mismatch at pos (416, 1309) cpu: 2.8273e-05 gpu: 2.82704e-05
Mismatch at pos (416, 2618) cpu: -5.65435e-05 gpu: -5.65415e-05
Mismatch at pos (417, 3927) cpu: 5.55089e-05 gpu: 5.55121e-05
Mismatch at pos (418, 1309) cpu: 8.6726e-06 gpu: 8.66993e-06
Mismatch at pos (418, 3927) cpu: 2.60126e-05 gpu: 2.60115e-05
Mismatch at pos (419, 157) cpu: 3.10628e-05 gpu: 3.10607e-05
Mismatch at pos (419, 733) cpu: -1.49337e-05 gpu: -1.4931e-05
Mismatch at pos (419, 890) cpu: 4.59923e-05 gpu: 4.59903e-05
Mismatch at pos (419, 1152) cpu: 3.22517e-05 gpu: 3.22541e-05
Mismatch at pos (419, 1309) cpu: -1.19474e-06 gpu: -1.19323e-06
Mismatch at pos (419, 1466) cpu: -2.98631e-05 gpu: -2.98645e-05
Mismatch at pos (419, 1623) cpu: 6.09224e-05 gpu: 6.09243e-05
Mismatch at pos (419, 1885) cpu: 1.73205e-05 gpu: 1.73194e-05
Mismatch at pos (419, 2042) cpu: 1.37403e-05 gpu: 1.3738e-05
Mismatch at pos (419, 2618) cpu: 2.38756e-06 gpu: 2.38622e-06
Mismatch at pos (419, 2775) cpu: 2.86732e-05 gpu: 2.86718e-05
Mismatch at pos (419, 3037) cpu: 4.95721e-05 gpu: 4.95743e-05
Mismatch at pos (419, 3194) cpu: -1.85127e-05 gpu: -1.85155e-05
Mismatch at pos (419, 3351) cpu: -1.25427e-05 gpu: -1.2545e-05
Mismatch at pos (419, 3456) cpu: 9.67537e-05 gpu: 9.67579e-05
Mismatch at pos (419, 3770) cpu: 3.46426e-05 gpu: 3.46405e-05
Mismatch at pos (419, 3927) cpu: -3.58415e-06 gpu: -3.58225e-06
Mismatch at pos (419, 4084) cpu: -2.75032e-05 gpu: -2.75006e-05
Mismatch at pos (420, 1309) cpu: -1.10524e-05 gpu: -1.10553e-05
Mismatch at pos (420, 2618) cpu: 2.2109e-05 gpu: 2.2108e-05
Mismatch at pos (421, 1309) cpu: -2.08767e-05 gpu: -2.08732e-05
Mismatch at pos (421, 2618) cpu: 4.17496e-05 gpu: 4.17476e-05
Mismatch at pos (422, 1309) cpu: -3.06181e-05 gpu: -3.0622e-05
Mismatch at pos (423, 1309) cpu: -4.02585e-05 gpu: -4.02537e-05
Mismatch at pos (424, 1309) cpu: -4.97434e-05 gpu: -4.97478e-05
Mismatch at pos (425, 1309) cpu: -5.90604e-05 gpu: -5.90545e-05
Mismatch at pos (427, 1309) cpu: -7.70128e-05 gpu: -7.70071e-05
Mismatch at pos (430, 1309) cpu: -0.000101781 gpu: -0.000101786
